	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	decision_tree	10	1	0.10908932238817216	0.10821047308277497	0.9684681500634807	0:00:00.194340
1	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	decision_tree	10	5	0.11969590932130815	0.11612353503790306	0.9645876243532696	0:00:00.870014
2	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	decision_tree	10	25	0.13009829819202426	0.12257657151018328	0.9373402604280956	0:00:03.978279
0	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	random_forest	10	1	0.10733578354120256	0.10223164068139204	0.945995500807211	0:00:00.431068
1	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	random_forest	10	5	0.11787451803684235	0.10741625874386956	0.9210079234322374	0:00:02.279939
2	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	random_forest	10	25	0.12908685207366946	0.11154822472918452	0.8980479656508695	0:00:11.679598
3	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	random_forest	10	125	0.13850925862789154	0.10640185567717672	0.8180999702390824	0:00:54.095464
4	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	random_forest	10	625	0.14679421484470367	0.08293380927850694	0.6272985517401499	0:04:14.478338
0	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	decision_tree	10	0125	0.1374461054801941	0.12263593660453835	0.8892500921309614	0:00:17.791335
1	R301	['qtm,qsm,pm,tm,var_t,qlm,skew_l']	False	0.2	decision_tree	10	00625	0.14678780734539032	0.1127295604664252	0.7681156803886067	0:01:19.469023
0	R301	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	1	0.1084938943386078	0.10192434524764367	0.9475219688323416	0:00:00.410332
1	R301	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	05	0.11852580308914185	0.10731868149810306	0.9177009809152156	0:00:02.356616
2	R301	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	025	0.13127130270004272	0.11352458659822287	0.8970094114643937	0:00:11.876822
3	R301	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	0125	0.13895581662654874	0.10578577718517336	0.8115179048150973	0:00:56.786856
4	R301	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	00625	0.1472814530134201	0.084576910470777	0.6187143400902174	0:04:34.572095
0	R103	['qtm,qsm,pm,tm,skew_l,qlm,var_t']	False	0.2	random_forest	10	1	0.10868309438228607	0.10065679063395008	0.9458950347759423	0:00:00.414776
1	R103	['qtm,qsm,pm,tm,skew_l,qlm,var_t']	False	0.2	random_forest	10	05	0.11906508356332779	0.10702264407406982	0.9197309391054864	0:00:01.525859
2	R103	['qtm,qsm,pm,tm,skew_l,qlm,var_t']	False	0.2	random_forest	10	025	0.1289265900850296	0.11060865479931498	0.8918082927789809	0:00:07.058615
3	R103	['qtm,qsm,pm,tm,skew_l,qlm,var_t']	False	0.2	random_forest	10	0125	0.13913454115390778	0.10605803021273293	0.8118709015596633	0:00:30.926121
4	R103	['qtm,qsm,pm,tm,skew_l,qlm,var_t']	False	0.2	random_forest	10	00625	0.1469690054655075	0.08425971355809989	0.6220683795640566	0:02:29.729155
